symbol,side,entry_price,exit_price,realized_pnl,entry_quality,exit_quality,max_favorable_pct,max_adverse_pct,close_reason
BNBUSDT,LONG,609.5,605.3,-1.09,差,及时止损,0.07,-3.64,close_long
BNBUSDT,SHORT,608.0,606.0,0.42,良好,提前,1.15,-0.76,native_trailing
BNBUSDT,LONG,594.7,594.7,0.0,一般,未分析,2.76,-1.33,sync_absent_from_exchange
BNBUSDT,SHORT,574.5,587.7,-1.06,差,延迟止损,0.63,-4.23,close_short
BNBUSDT,SHORT,596.3,594.0,0.11,优秀,提前,6.66,-1.14,sync_absent_from_exchange
BNBUSDT,SHORT,600.7,604.825,-0.565999999999995,一般,及时止损,7.34,-1.22,sync_absent_from_exchange
BNBUSDT,LONG,609.442857,605.342857,-0.28,差,及时止损,0.11,-7.98,close_long
BNBUSDT,SHORT,605.2,602.728571,0.17,优秀,提前,5.75,-0.88,close_short
BNBUSDT,SHORT,627.5,625.0,0.1,优秀,提前,6.28,-0.4,sync_absent_from_exchange
BNBUSDT,SHORT,677.9,675.6,0.14,优秀,提前,6.92,0.03,close_short
BNBUSDT,SHORT,686.8,684.1,0.16,优秀,提前,8.12,0.06,close_short
BNBUSDT,SHORT,683.2,686.1,-0.09,一般,及时止损,5.97,-1.81,close_short
BNBUSDT,SHORT,688.8,694.8,-0.66,差,及时止损,2.11,-5.97,sync_absent_from_exchange
BTCUSDT,SHORT,65160.1,64361.3,1.84,优秀,提前,4.44,0.53,close_short
BTCUSDT,SHORT,65691.8,65691.8,0.0,一般,未分析,1.72,-1.13,sync_absent_from_exchange
BTCUSDT,LONG,66327.0,65829.1,-1.29,一般,延迟止损,1.01,-1.45,close_long
BTCUSDT,LONG,65137.2,66699.9,1.1,优秀,良好,3.32,0.19,close_long
BTCUSDT,LONG,64473.6,64031.9,-1.02,一般,延迟止损,1.87,-1.22,close_long
BTCUSDT,LONG,63570.6,63570.6,0.0,一般,未分析,1.29,-1.14,manual_close_long
BTCUSDT,SHORT,61274.7,62740.0,-7.18,差,延迟止损,0.96,-2.58,close_short
BTCUSDT,SHORT,62650.7,60769.45,0.76,优秀,优秀,3.13,-0.4,close_short
BTCUSDT,LONG,63869.7,62541.6,-0.93,差,及时止损,0.28,-4.43,close_long
BTCUSDT,LONG,62227.1,64130.3,0.760640000000001,优秀,提前,3.46,-1.67,sync_absent_from_exchange
BTCUSDT,LONG,60889.1,62720.7,1.1,优秀,提前,3.4,-0.8,close_long
BTCUSDT,LONG,64000.1,63467.8,-0.27,差,及时止损,0.76,-5.11,close_long
BTCUSDT,SHORT,65249.9,63604.5,0.99,优秀,提前,5.95,0.41,sync_absent_from_exchange
ETHUSDT,SHORT,1684.61,1705.94,-1.9,差,延迟止损,0.13,-2.07,close_short
ETHUSDT,SHORT,1742.88,1723.62,0.5,优秀,提前,4.09,-1.16,close_short
ETHUSDT,LONG,1784.86,1838.21307692308,4.16076999999998,优秀,提前,3.06,-1.37,sync_absent_from_exchange
ETHUSDT,LONG,1737.64,1792.138763,5.29,优秀,提前,6.43,1.2,close_long
ETHUSDT,SHORT,1673.42,1721.68,-7.77,差,延迟止损,1.12,-3.56,close_short
ETHUSDT,LONG,1659.82,1680.92,3.43,优秀,良好,1.88,-0.37,close_long
ETHUSDT,SHORT,1631.21,1669.94,-4.26,差,延迟止损,1.69,-3.82,close_short
ETHUSDT,SHORT,1608.31,1648.43,-2.25,差,延迟止损,0.29,-3.72,close_short
