symbol     trade_count  wins  losses  total_pnl  avg_pnl  first_trade          last_trade         
---------  -----------  ----  ------  ---------  -------  -------------------  -------------------
HYPEUSDT   15           6     9       -31.87     -2.125   2026-06-01 03:00:27  2026-06-19 04:18:10
SOLUSDT    14           10    4       1.92       0.137    2026-06-01 07:14:09  2026-06-18 00:10:46
BNBUSDT    12           6     6       -2.65      -0.22    2026-06-01 08:14:25  2026-06-17 15:59:51
WLDUSDT    11           8     3       20.19      1.835    2026-06-07 09:21:24  2026-06-18 16:54:20
BTCUSDT    11           6     5       -4.14      -0.376   2026-06-03 22:18:19  2026-06-18 13:13:05
SPCXUSDT   10           7     3       14.91      1.491    2026-06-09 20:12:42  2026-06-18 09:00:28
ETHUSDT    10           5     5       -1.96      -0.196   2026-06-01 05:22:48  2026-06-18 22:08:23
TRUMPUSDT  8            5     3       -4.17      -0.521   2026-06-12 15:28:30  2026-06-17 21:32:28
ZECUSDT    6            3     3       37.56      6.259    2026-06-08 08:13:52  2026-06-18 01:32:29
TAOUSDT    6            3     3       -1.56      -0.26    2026-06-13 14:27:28  2026-06-16 13:46:34
CLUSDT     6            3     3       -2.86      -0.476   2026-06-05 04:37:15  2026-06-15 18:12:54
XAUUSDT    5            1     4       -0.69      -0.138   2026-06-01 23:35:12  2026-06-18 18:53:20
SUIUSDT    4            1     3       -8.87      -2.218   2026-06-06 09:49:08  2026-06-17 03:31:49
TONUSDT    3            0     3       -2.31      -0.77    2026-06-01 10:16:44  2026-06-07 12:43:43
BCHUSDT    3            2     1       2.16       0.722    2026-06-08 12:13:37  2026-06-17 01:56:59
XAGUSDT    1            1     0       2.47       2.47     2026-06-09 18:13:14  2026-06-12 11:07:07
UNIUSDT    1            1     0       2.04       2.041    2026-06-17 06:12:07  2026-06-17 11:45:35
OKBUSDT    1            0     1       -0.19      -0.19    2026-06-01 01:05:50  2026-06-01 01:26:46
FILUSDT    1            1     0       0.79       0.79     2026-06-07 05:39:37  2026-06-09 12:25:37
